  6, 0 -  5, 0  0.709  0.564  0.411 ***NO RATE***
  6, 0 -  4, 0  0.365  0.322  0.237 ***NO RATE***
  6, 0 -  3, 0  0.216  0.197  0.145 ***NO RATE***
  6, 0 -  2, 0  0.115  0.106  0.078 ***NO RATE***
  6, 0 -  1, 0  0.041  0.038  0.028 ***NO RATE***
  6, 0 -  5, 1  0.714  0.567  0.413 1.235E+14
 D-RT  4.5095E+13 D-1T  7.5133E+13 D-2T  1.9956E+12 D-3T  1.2967E+12
  6, 0 -  4, 1  0.366  0.323  0.238 6.534E+13
 D-RT  6.0911E+13 D-1T  4.2619E+12 D-2T  1.0513E+11 D-3T  6.3420E+10
  6, 0 -  3, 1  0.217  0.197  0.146 8.709E+13
 D-RT  8.6707E+13 D-1T  3.6869E+11 D-2T  8.8270E+09 D-3T  5.0177E+09
  6, 0 -  2, 1  0.115  0.106  0.079 1.260E+14
 D-RT  1.2602E+14 D-1T  1.9698E+10 D-2T  4.6298E+08 D-3T  2.4920E+08
  6, 0 -  5, 2  0.719  0.570  0.415 7.821E+11
 Q-RT  1.5491E+10 Q-1T  7.0657E+11 Q-2T  3.9350E+10 Q-3T  2.0676E+10
  6, 0 -  4, 2  0.367  0.325  0.239 6.746E+10
 Q-RT  3.4635E+10 Q-1T  3.1128E+10 Q-2T  1.1373E+09 Q-3T  5.5633E+08
  6, 0 -  3, 2  0.218  0.198  0.146 6.144E+10
 Q-RT  5.9672E+10 Q-1T  1.6883E+09 Q-2T  5.5918E+07 Q-3T  2.5122E+07
  6, 0 -  5, 3  0.721  0.571  0.416 1.667E+09
 8-RT  1.3676E+06 8-1T  1.3627E+09 8-2T  2.1394E+08 8-3T  8.9370E+07
  6, 0 -  4, 3  0.368  0.325  0.239 3.835E+07
 8-RT  3.4184E+06 8-1T  3.2716E+07 8-2T  1.6392E+06 8-3T  5.7307E+05
 1K AUGER EL
 N1,L1,N2,L2,EKIN= 6 0 5 1  29.842802
 W_EKIN_AUGER,EKIN_N1_N2=  0.0607262999  0.0309458021
 2K AUGER EL
 N1,L1,N2,L2,EKIN= 6 0 5 1  29.9918022
 W_EKIN_AUGER,EKIN_N1_N2=  0.0607923009  0.0309458021
  6, 1 -  5, 0  0.707  0.563  0.410 1.131E+14
 D-RT  4.2432E+13 D-1T  6.8124E+13 D-2T  1.3494E+12 D-3T  1.1649E+12
  6, 1 -  4, 0  0.364  0.322  0.237 8.288E+13
 D-RT  7.7406E+13 D-1T  5.2971E+12 D-2T  9.7538E+10 D-3T  7.8202E+10
