 11, 0 - 10, 0  0.000  1.696  1.111 9.056E+13
 M-2T  7.8797E+13 M-3T  1.1764E+13
 11, 0 -  9, 0  2.852  1.022  0.721 1.172E+14
 M-1T  1.1038E+14 M-2T  6.8522E+12
 11, 0 -  8, 0  1.078  0.741  0.534 1.581E+13
 M-1T  1.5814E+13
 11, 0 -  7, 0  0.714  0.567  0.413 ***NO RATE***
 11, 0 -  6, 0  0.520  0.441  0.323 ***NO RATE***
 11, 0 -  5, 0  0.385  0.339  0.250 ***NO RATE***
 11, 0 -  4, 0  0.280  0.252  0.186 ***NO RATE***
 11, 0 -  3, 0  0.190  0.173  0.128 ***NO RATE***
 11, 0 -  2, 0  0.108  0.100  0.074 ***NO RATE***
 11, 0 -  1, 0  0.041  0.038  0.028 ***NO RATE***
 11, 0 - 10, 1  0.041  1.704  1.115 5.608E+13
 D-RT  2.2665E+12 D-2T  3.8829E+13 D-3T  1.4986E+13
 11, 0 -  9, 1  2.896  1.025  0.723 6.691E+13
 D-RT  2.6293E+12 D-1T  5.7133E+13 D-2T  4.9292E+12 D-3T  2.2211E+12
 11, 0 -  8, 1  1.081  0.742  0.535 2.138E+13
 D-RT  3.0890E+12 D-1T  1.6459E+13 D-2T  1.4002E+12 D-3T  4.3480E+11
 11, 0 -  7, 1  0.716  0.568  0.414 1.061E+13
 D-RT  3.7643E+12 D-1T  6.3587E+12 D-2T  3.7618E+11 D-3T  1.1309E+11
 11, 0 -  6, 1  0.521  0.441  0.324 6.890E+12
 D-RT  4.7811E+12 D-1T  1.9651E+12 D-2T  1.1157E+11 D-3T  3.2447E+10
 11, 0 -  5, 1  0.386  0.340  0.250 6.994E+12
 D-RT  6.3632E+12 D-1T  5.8947E+11 D-2T  3.2511E+10 D-3T  9.1298E+09
 11, 0 -  4, 1  0.281  0.253  0.186 9.101E+12
 D-RT  8.9379E+12 D-1T  1.5287E+11 D-2T  8.2499E+09 D-3T  2.2313E+09
 11, 0 -  3, 1  0.190  0.174  0.129 1.333E+13
 D-RT  1.3300E+13 D-1T  2.8306E+10 D-2T  1.5013E+09 D-3T  3.8965E+08
 11, 0 -  2, 1  0.109  0.100  0.074 1.995E+13
