  9, 0 -  8, 0  0.000  1.156  0.805 2.073E+13
 M-2T  2.0732E+13
  9, 0 -  7, 0  0.989  0.705  0.510 ***NO RATE***
  9, 0 -  6, 0  0.605  0.499  0.365 ***NO RATE***
  9, 0 -  5, 0  0.419  0.365  0.269 ***NO RATE***
  9, 0 -  4, 0  0.293  0.263  0.194 ***NO RATE***
  9, 0 -  3, 0  0.195  0.178  0.131 ***NO RATE***
  9, 0 -  2, 0  0.109  0.101  0.075 ***NO RATE***
  9, 0 -  1, 0  0.041  0.038  0.028 ***NO RATE***
  9, 0 -  8, 1  0.041  1.161  0.808 2.879E+13
 D-RT  6.1347E+12 D-2T  1.2715E+13 D-3T  9.9413E+12
  9, 0 -  7, 1  0.993  0.707  0.511 5.115E+13
 D-RT  7.4285E+12 D-1T  4.1242E+13 D-2T  1.6927E+12 D-3T  7.8174E+11
  9, 0 -  6, 1  0.606  0.500  0.366 1.731E+13
 D-RT  9.2213E+12 D-1T  7.6626E+12 D-2T  2.9259E+11 D-3T  1.2941E+11
  9, 0 -  5, 1  0.419  0.366  0.269 1.384E+13
 D-RT  1.2046E+13 D-1T  1.7074E+12 D-2T  6.2619E+10 D-3T  2.6564E+10
  9, 0 -  4, 1  0.294  0.264  0.195 1.707E+13
 D-RT  1.6687E+13 D-1T  3.6616E+11 D-2T  1.3081E+10 D-3T  5.3201E+09
  9, 0 -  3, 1  0.195  0.178  0.132 2.465E+13
 D-RT  2.4583E+13 D-1T  5.9799E+10 D-2T  2.0960E+09 D-3T  8.1564E+08
  9, 0 -  2, 1  0.110  0.101  0.075 3.662E+13
 D-RT  3.6618E+13 D-1T  4.5347E+09 D-2T  1.5652E+08 D-3T  5.8100E+07
  9, 0 -  8, 2  0.110  1.167  0.812 1.720E+12
 Q-RT  1.0901E+09 Q-2T  1.1328E+12 Q-3T  5.8641E+11
  9, 0 -  7, 2  0.998  0.709  0.513 4.835E+11
 Q-RT  2.2073E+09 Q-1T  4.1370E+11 Q-2T  4.9620E+10 Q-3T  1.7958E+10
  9, 0 -  6, 2  0.608  0.501  0.367 8.689E+10
 Q-RT  3.9604E+09 Q-1T  7.5688E+10 Q-2T  5.3236E+09 Q-3T  1.9200E+09
  9, 0 -  5, 2  0.421  0.367  0.270 2.301E+10
 Q-RT  6.9685E+09 Q-1T  1.4911E+10 Q-2T  8.4083E+08 Q-3T  2.9066E+08
  9, 0 -  4, 2  0.295  0.265  0.195 1.491E+10
 Q-RT  1.2166E+10 Q-1T  2.5708E+09 Q-2T  1.3072E+08 Q-3T  4.2649E+07
  9, 0 -  3, 2  0.196  0.179  0.132 1.933E+10
 Q-RT  1.9036E+10 Q-1T  2.7155E+08 Q-2T  1.3090E+07 Q-3T  4.0067E+06
  9, 0 -  8, 3  0.196  1.169  0.814 4.326E+10
 8-RT  6.0163E+04 8-2T  3.0835E+10 8-3T  1.2421E+10
  9, 0 -  7, 3  1.000  0.710  0.513 1.339E+09
 8-RT  1.5894E+05 8-1T  8.0654E+08 8-2T  4.1073E+08 8-3T  1.2200E+08
  9, 0 -  6, 3  0.609  0.502  0.367 1.632E+08
 8-RT  3.7744E+05 8-1T  1.3531E+08 8-2T  2.1441E+07 8-3T  6.0220E+06
  9, 0 -  5, 3  0.421  0.367  0.270 2.538E+07
 8-RT  8.2755E+05 8-1T  2.2175E+07 8-2T  1.8980E+06 8-3T  4.8100E+05
  9, 0 -  4, 3  0.295  0.265  0.195 4.131E+06
 8-RT  1.4616E+06 8-1T  2.4812E+06 8-2T  1.5352E+05 8-3T  3.4399E+04
 1K AUGER EL
 N1,L1,N2,L2,EKIN= 9 0 7 1  19.3106403
 W_EKIN_AUGER,EKIN_N1_N2=  0.000141270531  0.0204136409
  9, 1 -  8, 0  0.000  1.152  0.803 1.939E+13
 D-RT  4.0291E+12 D-2T  9.1128E+12 D-3T  6.2489E+12
  9, 1 -  7, 0  0.987  0.705  0.509 3.814E+13
 D-RT  5.6245E+12 D-1T  3.0651E+13 D-2T  1.2904E+12 D-3T  5.7635E+11
  9, 1 -  6, 0  0.604  0.499  0.365 1.527E+13
 D-RT  8.1871E+12 D-1T  6.7077E+12 D-2T  2.6288E+11 D-3T  1.1244E+11
  9, 1 -  5, 0  0.418  0.365  0.269 1.484E+13
 D-RT  1.2931E+13 D-1T  1.8097E+12 D-2T  6.8130E+10 D-3T  2.7952E+10
  9, 1 -  4, 0  0.293  0.263  0.194 2.351E+13
 D-RT  2.2989E+13 D-1T  4.9783E+11 D-2T  1.8259E+10 D-3T  7.1820E+09
  9, 1 -  3, 0  0.195  0.178  0.131 4.931E+13
 D-RT  4.9184E+13 D-1T  1.1778E+11 D-2T  4.2381E+09 D-3T  1.5951E+09
  9, 1 -  2, 0  0.109  0.101  0.075 1.475E+14
 D-RT  1.4751E+14 D-1T  1.7859E+10 D-2T  6.3289E+08 D-3T  2.2721E+08
  9, 1 -  1, 0  0.041  0.038  0.028 6.649E+14
 D-RT  6.6491E+14 D-1T  7.7585E+08 D-2T  2.7180E+07 D-3T  9.3291E+06
  9, 1 -  8, 1  0.041  1.157  0.806 2.240E+13
 M-2T  2.1117E+13 Q-RT  8.3784E+08 Q-2T  8.7060E+11 Q-3T  4.1679E+11
  9, 1 -  7, 1  0.991  0.706  0.511 3.605E+11
 Q-RT  1.6877E+09 Q-1T  3.0804E+11 Q-2T  3.7586E+10 Q-3T  1.3164E+10
  9, 1 -  6, 1  0.606  0.500  0.366 7.021E+10
 Q-RT  3.2637E+09 Q-1T  6.1024E+10 Q-2T  4.3929E+09 Q-3T  1.5323E+09
  9, 1 -  5, 1  0.419  0.366  0.269 2.162E+10
 Q-RT  6.6361E+09 Q-1T  1.3914E+10 Q-2T  8.0451E+08 Q-3T  2.6893E+08
  9, 1 -  4, 1  0.294  0.264  0.195 1.832E+10
 Q-RT  1.5004E+10 Q-1T  3.1036E+09 Q-2T  1.6194E+08 Q-3T  5.1087E+07
  9, 1 -  3, 1  0.195  0.178  0.132 4.097E+10
 Q-RT  4.0371E+10 Q-1T  5.6154E+08 Q-2T  2.7784E+07 Q-3T  8.2232E+06
  9, 1 -  2, 1  0.110  0.101  0.075 1.409E+11
 Q-RT  1.4083E+11 Q-1T  5.6691E+07 Q-2T  2.7174E+06 Q-3T  7.5238E+05
  9, 1 -  8, 2  0.110  1.164  0.810 1.317E+13
 D-RT  2.8036E+12 D-2T  5.7561E+12 D-3T  4.5755E+12 8-RT  5.1625E+04 8-2T  2.6336E+10 8-3T  1.0021E+10
  9, 1 -  7, 2  0.996  0.708  0.512 2.098E+13
 D-RT  3.0158E+12 D-1T  1.6927E+13 D-2T  7.1367E+11 D-3T  3.1895E+11 8-RT  1.0777E+05 8-1T  5.1583E+08 8-2T  2.7867E+08
 8-3T  8.0063E+07
  9, 1 -  6, 2  0.608  0.501  0.366 6.177E+12
 D-RT  3.2726E+12 D-1T  2.7504E+12 D-2T  1.0787E+11 D-3T  4.6167E+10 8-RT  2.3901E+05 8-1T  8.4621E+07 8-2T  1.3713E+07
 8-3T  3.7245E+06
  9, 1 -  5, 2  0.421  0.367  0.270 4.138E+12
