 10, 0 -  9, 0  0.000  1.406  0.954 4.424E+13
 M-2T  4.4236E+13
 10, 0 -  8, 0  1.460  0.857  0.613 5.838E+13
 M-1T  5.8375E+13
 10, 0 -  7, 0  0.801  0.616  0.448 ***NO RATE***
 10, 0 -  6, 0  0.551  0.463  0.339 ***NO RATE***
 10, 0 -  5, 0  0.399  0.350  0.257 ***NO RATE***
 10, 0 -  4, 0  0.285  0.257  0.189 ***NO RATE***
 10, 0 -  3, 0  0.192  0.175  0.130 ***NO RATE***
 10, 0 -  2, 0  0.109  0.100  0.074 ***NO RATE***
 10, 0 -  1, 0  0.041  0.038  0.028 ***NO RATE***
 10, 0 -  9, 1  0.041  1.412  0.958 4.248E+13
 D-RT  3.6386E+12 D-2T  2.2680E+13 D-3T  1.6166E+13
 10, 0 -  8, 1  1.468  0.859  0.614 5.338E+13
 D-RT  4.3036E+12 D-1T  4.4073E+13 D-2T  3.6351E+12 D-3T  1.3660E+12
 10, 0 -  7, 1  0.803  0.617  0.448 1.987E+13
 D-RT  5.1824E+12 D-1T  1.3745E+13 D-2T  6.8902E+11 D-3T  2.4926E+11
 10, 0 -  6, 1  0.553  0.464  0.340 1.029E+13
 D-RT  6.5138E+12 D-1T  3.5441E+12 D-2T  1.6881E+11 D-3T  5.8859E+10
 10, 0 -  5, 1  0.399  0.350  0.258 9.607E+12
 D-RT  8.6008E+12 D-1T  9.4828E+11 D-2T  4.3695E+10 D-3T  1.4674E+10
 10, 0 -  4, 1  0.286  0.257  0.190 1.225E+13
 D-RT  1.2010E+13 D-1T  2.2786E+11 D-2T  1.0256E+10 D-3T  3.3109E+09
 10, 0 -  3, 1  0.192  0.176  0.130 1.784E+13
 D-RT  1.7795E+13 D-1T  4.0062E+10 D-2T  1.7709E+09 D-3T  5.4798E+08
 10, 0 -  2, 1  0.109  0.101  0.075 2.661E+13
 D-RT  2.6612E+13 D-1T  3.1851E+09 D-2T  1.3871E+08 D-3T  4.0980E+07
 10, 0 -  9, 2  0.109  1.421  0.962 4.617E+12
 Q-RT  5.3536E+08 Q-2T  3.1431E+12 Q-3T  1.4737E+12
 10, 0 -  8, 2  1.480  0.861  0.616 7.107E+11
 Q-RT  1.0469E+09 Q-1T  5.1214E+11 Q-2T  1.5403E+11 Q-3T  4.3468E+10
 10, 0 -  7, 2  0.806  0.618  0.449 1.645E+11
 Q-RT  1.8105E+09 Q-1T  1.4144E+11 Q-2T  1.6504E+10 Q-3T  4.7821E+09
 10, 0 -  6, 2  0.554  0.465  0.341 4.153E+10
 Q-RT  3.0709E+09 Q-1T  3.4760E+10 Q-2T  2.8758E+09 Q-3T  8.1949E+08
 10, 0 -  5, 2  0.400  0.351  0.258 1.420E+10
