  5, 0 -  4, 0  0.474  0.407  0.299 ***NO RATE***
  5, 0 -  3, 0  0.238  0.216  0.159 ***NO RATE***
  5, 0 -  2, 0  0.119  0.110  0.081 ***NO RATE***
  5, 0 -  1, 0  0.042  0.039  0.029 ***NO RATE***
  5, 0 -  4, 1  0.476  0.409  0.300 1.394E+14
 D-RT  1.0891E+14 D-1T  2.9185E+13 D-2T  8.1078E+11 D-3T  4.6145E+11
  5, 0 -  3, 1  0.238  0.216  0.160 1.556E+14
 D-RT  1.5447E+14 D-1T  1.1024E+12 D-2T  2.9148E+10 D-3T  1.5305E+10
  5, 0 -  2, 1  0.120  0.110  0.082 2.209E+14
 D-RT  2.2088E+14 D-1T  4.1997E+10 D-2T  1.0865E+09 D-3T  5.3618E+08
  5, 0 -  4, 2  0.480  0.412  0.302 2.885E+11
 Q-RT  4.6844E+10 Q-1T  2.2673E+11 Q-2T  1.0182E+10 Q-3T  4.7384E+09
  5, 0 -  3, 2  0.240  0.217  0.161 1.006E+11
 Q-RT  9.5258E+10 Q-1T  5.1073E+09 Q-2T  1.8811E+08 Q-3T  7.8437E+07
  5, 0 -  4, 3  0.481  0.413  0.303 3.163E+08
 8-RT  3.9541E+06 8-1T  2.8288E+08 8-2T  2.1844E+07 8-3T  7.6358E+06
 2K AUGER EL
 N1,L1,N2,L2,EKIN= 5 0 4 1  56.0144196
 W_EKIN_AUGER,EKIN_N1_N2=  0.151920736  0.056968417
  5, 1 -  4, 0  0.473  0.406  0.298 1.638E+14
 D-RT  1.2934E+14 D-1T  3.3334E+13 D-2T  6.4109E+11 D-3T  5.2113E+11
  5, 1 -  3, 0  0.237  0.215  0.159 2.882E+14
 D-RT  2.8619E+14 D-1T  1.9918E+12 D-2T  3.6482E+10 D-3T  2.7372E+10
  5, 1 -  2, 0  0.119  0.110  0.081 8.682E+14
 D-RT  8.6805E+14 D-1T  1.6071E+11 D-2T  2.8802E+09 D-3T  2.0312E+09
  5, 1 -  1, 0  0.042  0.039  0.029 3.904E+15
 D-RT  3.9036E+15 D-1T  5.1419E+09 D-2T  9.0964E+07 D-3T  6.1026E+07
  5, 1 -  4, 1  0.475  0.408  0.300 4.107E+11
 Q-RT  7.0871E+10 Q-1T  3.2322E+11 Q-2T  1.0005E+10 Q-3T  6.6476E+09
  5, 1 -  3, 1  0.238  0.216  0.160 2.357E+11
 Q-RT  2.2370E+11 Q-1T  1.1531E+10 Q-2T  2.9404E+08 Q-3T  1.7511E+08
  5, 1 -  2, 1  0.120  0.110  0.082 8.278E+11
 Q-RT  8.2728E+11 Q-1T  5.4828E+08 Q-2T  1.3312E+07 Q-3T  7.2569E+06
  5, 1 -  4, 2  0.479  0.411  0.302 3.999E+13
