  7, 0 -  6, 0  1.074  0.739  0.533 1.073E+14
 M-1T  1.0727E+14
  7, 0 -  5, 0  0.518  0.439  0.322 ***NO RATE***
  7, 0 -  4, 0  0.325  0.290  0.214 ***NO RATE***
  7, 0 -  3, 0  0.205  0.187  0.138 ***NO RATE***
  7, 0 -  2, 0  0.112  0.103  0.077 ***NO RATE***
  7, 0 -  1, 0  0.041  0.038  0.028 ***NO RATE***
  7, 0 -  6, 1  1.082  0.743  0.536 1.335E+14
 D-RT  2.1206E+13 D-1T  1.0495E+14 D-2T  4.4632E+12 D-3T  2.8940E+12
  7, 0 -  5, 1  0.519  0.440  0.323 3.900E+13
 D-RT  2.7400E+13 D-1T  1.1127E+13 D-2T  2.9260E+11 D-3T  1.7764E+11
  7, 0 -  4, 1  0.326  0.291  0.214 3.849E+13
 D-RT  3.7018E+13 D-1T  1.4150E+12 D-2T  3.5707E+10 D-3T  2.0522E+10
  7, 0 -  3, 1  0.206  0.188  0.139 5.367E+13
 D-RT  5.3495E+13 D-1T  1.7224E+11 D-2T  4.2447E+09 D-3T  2.3181E+09
  7, 0 -  2, 1  0.113  0.104  0.077 7.865E+13
 D-RT  7.8639E+13 D-1T  1.0977E+10 D-2T  2.6601E+08 D-3T  1.3807E+08
  7, 0 -  6, 2  1.093  0.747  0.538 1.366E+12
 Q-RT  5.7679E+09 Q-1T  1.1498E+12 Q-2T  1.4019E+11 Q-3T  7.0531E+10
  7, 0 -  5, 2  0.521  0.442  0.324 1.197E+11
 Q-RT  1.2623E+10 Q-1T  1.0044E+11 Q-2T  4.4395E+09 Q-3T  2.2041E+09
  7, 0 -  4, 2  0.327  0.292  0.215 3.460E+10
 Q-RT  2.3954E+10 Q-1T  1.0110E+10 Q-2T  3.6903E+08 Q-3T  1.7105E+08
  7, 0 -  3, 2  0.206  0.188  0.139 3.987E+10
 Q-RT  3.9048E+10 Q-1T  7.8507E+08 Q-2T  2.6682E+07 Q-3T  1.1489E+07
  7, 0 -  6, 3  1.097  0.748  0.539 4.541E+09
 8-RT  4.4737E+05 8-1T  2.4684E+09 8-2T  1.4632E+09 8-3T  6.0876E+08
  7, 0 -  5, 3  0.522  0.443  0.324 1.833E+08
 8-RT  1.2767E+06 8-1T  1.6339E+08 8-2T  1.3545E+07 8-3T  5.1202E+06
  7, 0 -  4, 3  0.328  0.292  0.215 1.331E+07
 8-RT  2.6018E+06 8-1T  1.0088E+07 8-2T  4.7110E+05 8-3T  1.5273E+05
 1K AUGER EL
 N1,L1,N2,L2,EKIN= 7 0 6 1  17.556345
 W_EKIN_AUGER,EKIN_N1_N2=  0.00439077476  0.0186593458
 2K AUGER EL
 N1,L1,N2,L2,EKIN= 7 0 6 1  17.7053452
 W_EKIN_AUGER,EKIN_N1_N2=  0.000170245548  0.0186593458
  7, 1 -  6, 0  1.069  0.738  0.532 1.107E+14
 D-RT  1.7037E+13 D-1T  8.8694E+13 D-2T  2.7762E+12 D-3T  2.2326E+12
  7, 1 -  5, 0  0.517  0.439  0.322 3.886E+13
 D-RT  2.7509E+13 D-1T  1.0944E+13 D-2T  2.3122E+11 D-3T  1.7414E+11
  7, 1 -  4, 0  0.325  0.290  0.214 5.085E+13
 D-RT  4.8943E+13 D-1T  1.8394E+12 D-2T  3.7301E+10 D-3T  2.6598E+10
  7, 1 -  3, 0  0.205  0.187  0.138 1.051E+14
 D-RT  1.0472E+14 D-1T  3.3126E+11 D-2T  6.5607E+09 D-3T  4.4456E+09
  7, 1 -  2, 0  0.112  0.103  0.076 3.145E+14
 D-RT  3.1448E+14 D-1T  4.2876E+10 D-2T  8.3504E+08 D-3T  5.3778E+08
  7, 1 -  1, 0  0.041  0.038  0.028 1.416E+15
 D-RT  1.4160E+15 D-1T  1.7110E+09 D-2T  3.2929E+07 D-3T  2.0247E+07
  7, 1 -  6, 1  1.077  0.741  0.534 1.060E+14
 M-1T  1.0477E+14 Q-RT  5.4723E+09 Q-1T  1.0761E+12 Q-2T  9.9826E+10 Q-3T  6.2383E+10
  7, 1 -  5, 1  0.519  0.440  0.323 1.175E+11
 Q-RT  1.2837E+10 Q-1T  9.8959E+10 Q-2T  3.5040E+09 Q-3T  2.1579E+09
  7, 1 -  4, 1  0.326  0.291  0.214 4.388E+10
 Q-RT  3.0691E+10 Q-1T  1.2608E+10 Q-2T  3.6956E+08 Q-3T  2.1246E+08
  7, 1 -  3, 1  0.206  0.187  0.139 8.660E+10
 Q-RT  8.4873E+10 Q-1T  1.6589E+09 Q-2T  4.5299E+07 Q-3T  2.4194E+07
  7, 1 -  2, 1  0.113  0.104  0.077 3.003E+11
 Q-RT  3.0013E+11 Q-1T  1.3883E+08 Q-2T  3.6587E+06 Q-3T  1.8184E+06
  7, 1 -  6, 2  1.088  0.745  0.537 5.143E+13
 D-RT  8.4182E+12 D-1T  4.0391E+13 D-2T  1.4474E+12 D-3T  1.1652E+12 8-RT  5.0851E+05 8-1T  2.7864E+09 8-2T  1.2680E+09
 8-3T  6.5461E+08
  7, 1 -  5, 2  0.521  0.442  0.324 1.265E+13
 D-RT  8.8622E+12 D-1T  3.6518E+12 D-2T  7.7215E+10 D-3T  5.8203E+10 8-RT  1.2891E+06 8-1T  1.6186E+08 8-2T  1.0735E+07
 8-3T  5.0327E+06
  7, 1 -  4, 2  0.327  0.292  0.215 9.401E+12
 D-RT  9.0378E+12 D-1T  3.5118E+11 D-2T  7.1245E+09 D-3T  5.0841E+09 8-RT  3.5754E+06 8-1T  1.3665E+07 8-2T  5.1219E+05
 8-3T  2.0597E+05
  7, 1 -  3, 2  0.206  0.188  0.139 7.807E+12
 D-RT  7.7806E+12 D-1T  2.5573E+10 D-2T  5.0663E+08 D-3T  3.4354E+08 8-RT  1.0514E+07 8-1T  1.0860E+06 8-2T  3.2531E+04
 8-3T  1.1380E+04
  7, 1 -  6, 3  1.092  0.746  0.538 3.877E+11
 Q-RT  1.7094E+09 Q-1T  3.3199E+11 Q-2T  3.3231E+10 Q-3T  2.0752E+10
  7, 1 -  5, 3  0.522  0.442  0.324 2.666E+10
 Q-RT  2.8263E+09 Q-1T  2.2542E+10 Q-2T  8.0107E+08 Q-3T  4.9365E+08
  7, 1 -  4, 3  0.328  0.292  0.215 4.463E+09
 Q-RT  3.0909E+09 Q-1T  1.3116E+09 Q-2T  3.8490E+07 Q-3T  2.2146E+07
  7, 1 -  6, 4  1.094  0.747  0.539 8.602E+08
