 15, 0 - 14, 0  0.000  3.787  1.818 2.381E+14
 M-2T  2.1246E+14 M-3T  2.5690E+13
 15, 0 - 13, 0  0.000  1.893  1.208 5.122E+13
 M-2T  4.6357E+13 M-3T  4.8663E+12
 15, 0 - 12, 0  0.000  1.355  0.925 1.173E+13
 M-2T  1.1734E+13
 15, 0 - 11, 0  3.965  1.062  0.746 4.005E+13
 M-1T  3.6704E+13 M-2T  3.3413E+12
 15, 0 - 10, 0  1.488  0.863  0.617 1.127E+13
 M-1T  1.1272E+13
 15, 0 -  9, 0  1.009  0.714  0.516 3.592E+12
 M-1T  3.5921E+12
 15, 0 -  8, 0  0.760  0.593  0.432 ***NO RATE***
 15, 0 -  7, 0  0.592  0.491  0.359 ***NO RATE***
 15, 0 -  6, 0  0.465  0.401  0.294 ***NO RATE***
 15, 0 -  5, 0  0.360  0.319  0.235 ***NO RATE***
 15, 0 -  4, 0  0.269  0.243  0.179 ***NO RATE***
 15, 0 -  3, 0  0.186  0.170  0.125 ***NO RATE***
 15, 0 -  2, 0  0.107  0.099  0.073 ***NO RATE***
 15, 0 -  1, 0  0.040  0.037  0.028 ***NO RATE***
 15, 0 - 14, 1  0.040  3.818  1.824 3.026E+14
 D-RT  4.8394E+11 D-2T  2.4368E+14 D-3T  5.8447E+13
 15, 0 - 13, 1  0.040  1.897  1.210 2.909E+13
 D-RT  5.3320E+11 D-2T  2.2708E+13 D-3T  5.8446E+12
 15, 0 - 12, 1  0.040  1.358  0.926 8.458E+12
 D-RT  5.8734E+11 D-2T  5.6547E+12 D-3T  2.2164E+12
 15, 0 - 11, 1  4.030  1.063  0.747 2.065E+13
 D-RT  6.6205E+11 D-1T  1.7071E+13 D-2T  2.2215E+12 D-3T  7.0003E+11
 15, 0 - 10, 1  1.493  0.864  0.618 1.061E+13
 D-RT  7.6462E+11 D-1T  8.3981E+12 D-2T  1.1876E+12 D-3T  2.6054E+11
 15, 0 -  9, 1  1.011  0.715  0.516 5.617E+12
 D-RT  9.0551E+11 D-1T  4.1157E+12 D-2T  4.9049E+11 D-3T  1.0536E+11
 15, 0 -  8, 1  0.761  0.594  0.432 3.727E+12
