 14, 0 - 13, 0  0.000  3.012  1.630 2.196E+14
 M-2T  1.9594E+14 M-3T  2.3641E+13
 14, 0 - 12, 0  0.000  1.634  1.079 3.825E+13
 M-2T  3.4590E+13 M-3T  3.6603E+12
 14, 0 - 11, 0  0.000  1.181  0.821 7.604E+12
 M-2T  7.6038E+12
 14, 0 - 10, 0  1.812  0.925  0.658 2.237E+13
 M-1T  2.2369E+13
 14, 0 -  9, 0  1.096  0.748  0.539 6.257E+12
 M-1T  6.2573E+12
 14, 0 -  8, 0  0.795  0.612  0.445 ***NO RATE***
 14, 0 -  7, 0  0.609  0.502  0.367 ***NO RATE***
 14, 0 -  6, 0  0.473  0.407  0.299 ***NO RATE***
 14, 0 -  5, 0  0.364  0.322  0.237 ***NO RATE***
 14, 0 -  4, 0  0.271  0.244  0.180 ***NO RATE***
 14, 0 -  3, 0  0.186  0.170  0.126 ***NO RATE***
 14, 0 -  2, 0  0.107  0.099  0.073 ***NO RATE***
 14, 0 -  1, 0  0.040  0.037  0.028 ***NO RATE***
 14, 0 - 13, 1  0.040  3.032  1.635 2.137E+14
 D-RT  6.8257E+11 D-2T  1.7037E+14 D-3T  4.2621E+13
 14, 0 - 12, 1  0.040  1.638  1.081 2.097E+13
 D-RT  7.5945E+11 D-2T  1.5846E+13 D-3T  4.3660E+12
 14, 0 - 11, 1  0.040  1.183  0.822 6.731E+12
 D-RT  8.4723E+11 D-2T  4.3150E+12 D-3T  1.5685E+12
 14, 0 - 10, 1  1.821  0.926  0.659 1.781E+13
 D-RT  9.6915E+11 D-1T  1.4266E+13 D-2T  2.0949E+12 D-3T  4.7995E+11
 14, 0 -  9, 1  1.098  0.749  0.540 8.526E+12
 D-RT  1.1391E+12 D-1T  6.4494E+12 D-2T  7.6598E+11 D-3T  1.7154E+11
 14, 0 -  8, 1  0.796  0.613  0.446 5.285E+12
 D-RT  1.3777E+12 D-1T  3.5404E+12 D-2T  3.0083E+11 D-3T  6.5788E+10
 14, 0 -  7, 1  0.610  0.502  0.367 3.330E+12
 D-RT  1.7193E+12 D-1T  1.4653E+12 D-2T  1.1991E+11 D-3T  2.5562E+10
 14, 0 -  6, 1  0.474  0.407  0.299 2.860E+12
 D-RT  2.2241E+12 D-1T  5.7997E+11 D-2T  4.6090E+10 D-3T  9.5541E+09
 14, 0 -  5, 1  0.365  0.323  0.238 3.228E+12
 D-RT  3.0015E+12 D-1T  2.0701E+11 D-2T  1.6071E+10 D-3T  3.2298E+09
 14, 0 -  4, 1  0.271  0.245  0.181 4.327E+12
