  8, 0 -  7, 0  1.884  0.935  0.665 2.542E+14
 M-1T  2.5420E+14
  8, 0 -  6, 0  0.713  0.567  0.413 ***NO RATE***
  8, 0 -  5, 0  0.452  0.391  0.287 ***NO RATE***
  8, 0 -  4, 0  0.305  0.273  0.202 ***NO RATE***
  8, 0 -  3, 0  0.199  0.181  0.134 ***NO RATE***
  8, 0 -  2, 0  0.111  0.102  0.075 ***NO RATE***
  8, 0 -  1, 0  0.041  0.038  0.028 ***NO RATE***
  8, 0 -  7, 1  1.911  0.939  0.667 1.835E+14
 D-RT  1.0984E+13 D-1T  1.5800E+14 D-2T  8.8932E+12 D-3T  5.6696E+12
  8, 0 -  6, 1  0.716  0.568  0.414 3.785E+13
 D-RT  1.3691E+13 D-1T  2.3091E+13 D-2T  6.6978E+11 D-3T  4.0310E+11
  8, 0 -  5, 1  0.453  0.392  0.288 2.150E+13
 D-RT  1.7651E+13 D-1T  3.6861E+12 D-2T  1.0113E+11 D-3T  5.7944E+10
  8, 0 -  4, 1  0.306  0.274  0.202 2.487E+13
 D-RT  2.4183E+13 D-1T  6.5773E+11 D-2T  1.7493E+10 D-3T  9.5672E+09
  8, 0 -  3, 1  0.199  0.182  0.134 3.544E+13
 D-RT  3.5344E+13 D-1T  9.6096E+10 D-2T  2.5033E+09 D-3T  1.3066E+09
  8, 0 -  2, 1  0.111  0.102  0.076 5.237E+13
 D-RT  5.2361E+13 D-1T  6.8046E+09 D-2T  1.7446E+08 D-3T  8.6735E+07
  8, 0 -  7, 2  1.950  0.944  0.671 2.229E+12
 Q-RT  2.3952E+09 Q-1T  1.5549E+12 Q-2T  4.5785E+11 Q-3T  2.1431E+11
  8, 0 -  6, 2  0.719  0.570  0.415 2.555E+11
 Q-RT  5.0416E+09 Q-1T  2.2966E+11 Q-2T  1.3958E+10 Q-3T  6.7914E+09
  8, 0 -  5, 2  0.455  0.393  0.289 4.404E+10
 Q-RT  9.3850E+09 Q-1T  3.2582E+10 Q-2T  1.4126E+09 Q-3T  6.6098E+08
  8, 0 -  4, 2  0.307  0.275  0.203 2.174E+10
 Q-RT  1.6837E+10 Q-1T  4.6478E+09 Q-2T  1.7696E+08 Q-3T  7.7798E+07
  8, 0 -  3, 2  0.200  0.183  0.135 2.720E+10
 Q-RT  2.6736E+10 Q-1T  4.3697E+08 Q-2T  1.5672E+07 Q-3T  6.4400E+06
  8, 0 -  7, 3  1.964  0.946  0.672 1.335E+10
 8-RT  1.5713E+05 8-1T  2.5729E+09 8-2T  7.6901E+09 8-3T  3.0837E+09
  8, 0 -  6, 3  0.720  0.571  0.416 5.362E+08
 8-RT  4.3838E+05 8-1T  4.3317E+08 8-2T  7.3977E+07 8-3T  2.8610E+07
  8, 0 -  5, 3  0.455  0.393  0.289 5.562E+07
 8-RT  1.0444E+06 8-1T  4.9840E+07 8-2T  3.5157E+06 8-3T  1.2233E+06
  8, 0 -  4, 3  0.307  0.275  0.203 6.759E+06
 8-RT  1.9427E+06 8-1T  4.5369E+06 8-2T  2.1400E+05 8-3T  6.5060E+04


 *** INTERNAL PROGRAM ERROR IN ROUTINE CASCAD *** BAD CHOICE OF PARAMETERS HAS RESULTED IN A DIVISION BY ZERO ***
 *** ONE OF THE VARIABLES /XM,T0,G0,ZT(1,K),RATE0,RATE1,RATEGT/ IS ZERO *** NEXT LINES GIVE MORE INFORMATION... ***


 *** N1= 8 L1= 0, N2= 7 L2= 0
     XM= 0.00000E+00 T0= 1.00000E-10 XR= 1.00000E-10 ZT(  1)= 0.00000E+00
     PC0(K1)= 5.43082E-01 PC1(K1)= 4.34345E-01 PC2(K1)= 2.25737E-02
     ZR(K)= 0.00000E+00 XR= 1.00000E-10 ZA(K)= 2.54204E+14
     ZA0= 4.55647E-01 ZA1= 5.02654E-01 ZA2= 4.16990E-02 YM= 8.51488E-01
     ZK(1,K)= 5.86052E-01 ZK(2,K)= 1.23360E+00 ZK(3,K)= 1.64819E+01



 *** STANDARD FIXUP TAKEN (ZERO VARIABLE PUT EQUAL TO ONE), EXECUTION CONTINUING ***//
 1K AUGER EL
 N1,L1,N2,L2,EKIN= 8 0 7 1  11.0076313
 W_EKIN_AUGER,EKIN_N1_N2=  0.00147886807  0.012110631
 2K AUGER EL
 N1,L1,N2,L2,EKIN= 8 0 7 1  11.1566305
 W_EKIN_AUGER,EKIN_N1_N2=  0.000913408585  0.012110631
 1K AUGER EL
 N1,L1,N2,L2,EKIN= 8 0 6 1  29.666975
 W_EKIN_AUGER,EKIN_N1_N2=  0.0230149385  0.0307699759
  8, 1 -  7, 0  1.867  0.933  0.663 1.401E+14
 D-RT  7.8696E+12 D-1T  1.2183E+14 D-2T  6.4881E+12 D-3T  3.8730E+12
  8, 1 -  6, 0  0.712  0.566  0.413 3.193E+13
 D-RT  1.1682E+13 D-1T  1.9323E+13 D-2T  5.9182E+11 D-3T  3.3359E+11
  8, 1 -  5, 0  0.452  0.391  0.287 2.242E+13
 D-RT  1.8454E+13 D-1T  3.7956E+12 D-2T  1.0999E+11 D-3T  5.9032E+10
  8, 1 -  4, 0  0.305  0.273  0.202 3.369E+13
