  4, 0 -  3, 0  0.298  0.267  0.197 ***NO RATE***
  4, 0 -  2, 0  0.129  0.118  0.088 ***NO RATE***
  4, 0 -  1, 0  0.043  0.040  0.029 ***NO RATE***
  4, 0 -  3, 1  0.300  0.269  0.198 3.192E+14
 D-RT  3.1131E+14 D-1T  7.5799E+12 D-2T  2.0074E+11 D-3T  1.0932E+11
  4, 0 -  2, 1  0.129  0.119  0.088 4.415E+14
 D-RT  4.4137E+14 D-1T  1.2410E+11 D-2T  3.1825E+09 D-3T  1.5966E+09
  4, 0 -  3, 2  0.302  0.271  0.200 1.874E+11
 Q-RT  1.4864E+11 Q-1T  3.6782E+10 Q-2T  1.3914E+09 Q-3T  6.0893E+08
  4, 1 -  3, 0  0.297  0.267  0.197 5.540E+14
 D-RT  5.4093E+14 D-1T  1.2629E+13 D-2T  2.1769E+11 D-3T  1.7981E+11
  4, 1 -  2, 0  0.129  0.118  0.088 1.702E+15
 D-RT  1.7011E+15 D-1T  4.6356E+11 D-2T  7.7400E+09 D-3T  5.8918E+09
  4, 1 -  1, 0  0.043  0.040  0.029 7.662E+15
 D-RT  7.6619E+15 D-1T  1.1172E+10 D-2T  1.8386E+08 D-3T  1.3249E+08
  4, 1 -  3, 1  0.299  0.268  0.198 4.968E+11
 Q-RT  4.0015E+11 Q-1T  9.2824E+10 Q-2T  2.2821E+09 Q-3T  1.5137E+09
  4, 1 -  2, 1  0.129  0.119  0.088 1.619E+12
 Q-RT  1.6175E+12 Q-1T  1.6935E+09 Q-2T  3.8365E+07 Q-3T  2.2627E+07
  4, 1 -  3, 2  0.301  0.270  0.199 5.894E+13
 D-RT  5.7462E+13 D-1T  1.4374E+12 D-2T  2.4796E+10 D-3T  2.0512E+10 8-RT  6.1757E+07 8-1T  1.2310E+08 8-2T  3.7201E+06
 8-3T  1.7022E+06
  4, 2 -  3, 0  0.296  0.266  0.196 7.773E+11
 Q-RT  6.3422E+11 Q-1T  1.3900E+11 Q-2T  1.8454E+09 Q-3T  2.2242E+09
  4, 2 -  2, 0  0.128  0.118  0.087 8.488E+11
 Q-RT  8.4791E+11 Q-1T  8.5448E+08 Q-2T  1.0468E+07 Q-3T  1.1227E+07
  4, 2 -  1, 0  0.043  0.040  0.029 2.536E+13
 Q-RT  2.5358E+13 Q-1T  7.0632E+07 Q-2T  8.4190E+05 Q-3T  8.3840E+05
  4, 2 -  3, 1  0.298  0.267  0.197 1.257E+15
 D-RT  1.2269E+15 D-1T  2.9017E+13 D-2T  2.7060E+11 D-3T  4.0685E+11 8-RT  1.8711E+08 8-1T  3.4339E+08 8-2T  5.5758E+06
 8-3T  4.6264E+06
  4, 2 -  2, 1  0.129  0.119  0.088 3.557E+15
 D-RT  3.5561E+15 D-1T  9.9181E+11 D-2T  8.9586E+09 D-3T  1.2414E+10 8-RT  9.5373E-05 8-1T  3.1273E-07 8-2T  3.9849E-09
 8-3T  2.7149E-09
  4, 2 -  3, 2  0.300  0.269  0.199 2.244E+11
 Q-RT  1.8014E+11 Q-1T  4.2985E+10 Q-2T  5.7215E+08 Q-3T  6.9107E+08
  4, 3 -  3, 0  0.296  0.266  0.196 4.994E+08
 8-RT  1.7991E+08 8-1T  3.1340E+08 8-2T  1.9298E+06 8-3T  4.1155E+06
  4, 3 -  2, 0  0.128  0.118  0.087 1.892E+10
 8-RT  1.8857E+10 8-1T  5.9409E+07 8-2T  2.8808E+05 8-3T  5.0515E+05
  4, 3 -  1, 0  0.043  0.040  0.029 1.665E+10
 8-RT  1.6650E+10 8-1T  7.4796E+04 8-2T  3.4263E+02 8-3T  5.5028E+02
  4, 3 -  3, 1  0.298  0.267  0.197 1.157E+12
 Q-RT  9.4065E+11 Q-1T  2.1219E+11 Q-2T  1.0737E+09 Q-3T  3.3358E+09
  4, 3 -  2, 1  0.129  0.119  0.088 9.805E+12
 Q-RT  9.7949E+12 Q-1T  1.0179E+10 Q-2T  4.7497E+07 Q-3T  1.3129E+08
  4, 3 -  3, 2  0.300  0.269  0.198 2.387E+15
 D-RT  2.3295E+15 D-1T  5.6954E+13 D-2T  2.0233E+11 D-3T  7.8416E+11 8-RT  7.4534E+07 8-1T  1.4365E+08 8-2T  8.9171E+05
 8-3T  1.9098E+06
