  3, 0 -  2, 0  0.157  0.144  0.106 ***NO RATE***
  3, 0 -  1, 0  0.045  0.042  0.031 ***NO RATE***
  3, 0 -  2, 1  0.158  0.145  0.107 1.075E+15
 D-RT  1.0738E+15 D-1T  8.4315E+11 D-2T  2.0109E+10 D-3T  1.1053E+10
  3, 1 -  2, 0  0.156  0.143  0.106 3.987E+15
 D-RT  3.9842E+15 D-1T  2.9822E+12 D-2T  3.9748E+10 D-3T  3.8443E+10
  3, 1 -  1, 0  0.045  0.042  0.031 1.833E+16
 D-RT  1.8330E+16 D-1T  3.3616E+10 D-2T  4.3959E+08 D-3T  3.9682E+08
  3, 1 -  2, 1  0.157  0.144  0.107 3.770E+12
 Q-RT  3.7567E+12 Q-1T  1.3199E+10 Q-2T  2.3991E+08 Q-3T  1.8097E+08
  3, 2 -  2, 0  0.156  0.143  0.106 8.677E+12
 Q-RT  8.6480E+12 Q-1T  2.8576E+10 Q-2T  1.7551E+08 Q-3T  3.8199E+08
  3, 2 -  1, 0  0.045  0.042  0.031 4.430E+13
 Q-RT  4.4299E+13 Q-1T  1.5783E+08 Q-2T  9.3462E+05 Q-3T  1.8517E+06
  3, 2 -  2, 1  0.157  0.144  0.106 1.126E+16
 D-RT  1.1249E+16 D-1T  8.6097E+12 D-2T  3.8801E+10 D-3T  1.0845E+11 8-RT  3.3536E+09 8-1T  4.4043E+07 8-2T  2.8580E+05
 8-3T  3.9890E+05
